n,N,cond_number,pauli_strings,coefficients
8,3,3.993797063827514,"[[2, 1, 3, 2, 1, 2, 1, 2], [2, 3, 0, 2, 0, 0, 3, 3], [2, 1, 0, 2, 3, 3, 1, 0]]","[0.92, -0.24, -0.57]"
8,3,4.993167877197266,"[[3, 0, 2, 1, 2, 2, 3, 0], [3, 2, 2, 0, 0, 1, 2, 0], [3, 0, 0, 1, 2, 3, 3, 3]]","[0.63, -0.43, -0.14]"
8,3,2.1163129806518555,"[[2, 3, 3, 1, 3, 2, 3, 1], [0, 1, 2, 0, 1, 3, 3, 1], [0, 1, 1, 2, 1, 1, 2, 1]]","[3.57, 1.27, 0.15]"
8,3,2.4643003940582275,"[[2, 0, 2, 3, 0, 1, 1, 0], [0, 0, 0, 3, 3, 1, 3, 2], [0, 2, 1, 0, 3, 2, 3, 1]]","[0.09, -0.78, -1.84]"
8,3,2.3999392986297607,"[[0, 2, 3, 1, 0, 3, 2, 0], [3, 2, 0, 3, 1, 1, 0, 3], [3, 1, 3, 1, 1, 0, 3, 1]]","[-2.15, 0.59, 0.66]"
8,3,2.169813394546509,"[[1, 1, 1, 2, 0, 2, 2, 1], [3, 2, 0, 0, 1, 1, 0, 3], [1, 2, 3, 0, 3, 3, 2, 2]]","[-0.51, -0.42, -2.52]"
8,3,8.205948829650879,"[[0, 0, 2, 2, 0, 2, 2, 1], [0, 3, 0, 3, 0, 2, 1, 3], [2, 1, 3, 0, 1, 2, 3, 1]]","[2.29, -0.37, -1.93]"
8,3,5.844265937805176,"[[1, 1, 2, 1, 1, 1, 0, 0], [3, 1, 2, 2, 0, 0, 0, 0], [1, 2, 1, 0, 2, 2, 0, 0]]","[0.28, 0.11, 0.38]"
8,3,2.8768255710601807,"[[1, 3, 3, 0, 1, 3, 0, 2], [0, 0, 2, 3, 1, 1, 2, 1], [3, 0, 3, 0, 2, 2, 2, 3]]","[3.61, 0.43, -1.76]"
8,3,4.0171217918396,"[[3, 0, 2, 1, 1, 1, 3, 2], [3, 2, 2, 1, 1, 2, 1, 3], [0, 2, 1, 3, 0, 3, 0, 2]]","[-0.81, 1.79, -1.53]"
8,3,2.2458841800689697,"[[2, 1, 0, 3, 2, 0, 2, 0], [3, 0, 1, 1, 2, 1, 2, 1], [2, 1, 1, 3, 2, 1, 1, 1]]","[-1.15, 2.95, -0.34]"
8,3,16.789501190185547,"[[2, 2, 3, 0, 0, 1, 0, 0], [2, 0, 3, 1, 3, 0, 2, 0], [0, 2, 2, 1, 0, 3, 1, 2]]","[1.36, 0.33, -1.5]"
8,3,4.544307708740234,"[[0, 0, 0, 2, 0, 1, 2, 0], [1, 2, 1, 1, 0, 0, 1, 1], [2, 3, 0, 3, 0, 1, 1, 2]]","[1.28, 1.4, 0.91]"
8,3,3.0719144344329834,"[[0, 0, 3, 2, 2, 2, 1, 3], [3, 2, 2, 3, 2, 1, 3, 2], [1, 1, 3, 3, 2, 0, 3, 3]]","[-1.0, 1.76, -1.03]"
8,3,5.396925449371338,"[[2, 2, 0, 2, 1, 0, 1, 1], [2, 2, 3, 0, 3, 2, 2, 3], [1, 2, 2, 3, 2, 0, 0, 1]]","[-0.14, -0.42, -0.37]"
8,3,9.5946044921875,"[[2, 1, 1, 3, 2, 1, 0, 0], [2, 0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 2, 2, 2, 0, 2]]","[-2.31, 1.61, 3.18]"
8,3,2.1577019691467285,"[[1, 1, 1, 1, 2, 0, 2, 2], [1, 2, 1, 3, 0, 0, 1, 2], [3, 2, 2, 1, 3, 2, 2, 0]]","[0.95, 0.59, 0.41]"
8,3,2.140995740890503,"[[0, 0, 2, 1, 0, 1, 0, 3], [3, 3, 0, 1, 2, 0, 1, 1], [2, 3, 0, 3, 3, 2, 2, 1]]","[-0.34, 0.53, 1.36]"
8,3,5.941185474395752,"[[3, 2, 2, 3, 0, 0, 0, 1], [0, 1, 1, 3, 3, 2, 2, 0], [0, 1, 1, 1, 1, 0, 0, 2]]","[-0.83, 0.84, 0.35]"
8,3,2.5117950439453125,"[[0, 1, 3, 2, 0, 1, 3, 0], [0, 2, 2, 1, 3, 1, 3, 2], [0, 2, 1, 2, 2, 1, 2, 2]]","[0.24, -0.53, 1.17]"
8,3,8.35207748413086,"[[3, 0, 3, 2, 0, 3, 1, 2], [1, 2, 0, 3, 1, 3, 3, 0], [1, 2, 3, 3, 1, 2, 1, 3]]","[-1.88, 2.69, -2.58]"
8,3,2.9316561222076416,"[[1, 0, 3, 1, 0, 1, 3, 1], [2, 1, 2, 2, 3, 3, 0, 1], [3, 1, 1, 2, 1, 0, 2, 2]]","[-2.62, 1.3, -0.37]"
8,3,23.308942794799805,"[[1, 0, 3, 3, 1, 0, 2, 1], [0, 3, 2, 1, 1, 0, 2, 1], [1, 0, 2, 0, 1, 3, 2, 1]]","[3.74, -3.57, -1.07]"
8,3,10.105709075927734,"[[1, 3, 1, 0, 0, 1, 1, 2], [3, 0, 2, 1, 1, 2, 0, 3], [2, 3, 0, 0, 2, 2, 1, 2]]","[0.21, 0.16, 0.2]"
8,3,4.200003623962402,"[[0, 3, 3, 2, 1, 2, 2, 3], [0, 0, 0, 1, 1, 3, 2, 0], [1, 0, 0, 1, 2, 3, 0, 1]]","[-0.13, 0.0, 0.08]"
8,3,3.666669845581055,"[[3, 1, 2, 1, 3, 3, 3, 2], [0, 1, 3, 1, 3, 1, 2, 3], [0, 3, 2, 1, 2, 3, 3, 2]]","[-1.96, 1.55, 1.88]"
8,3,15.846976280212402,"[[1, 2, 3, 1, 0, 2, 0, 3], [2, 1, 2, 2, 1, 2, 2, 3], [1, 0, 2, 1, 0, 2, 2, 1]]","[-3.7, -2.65, 1.9]"
8,3,8.333357810974121,"[[3, 0, 0, 0, 0, 3, 2, 2], [3, 2, 1, 2, 2, 2, 1, 2], [0, 1, 0, 3, 2, 2, 2, 3]]","[-0.22, -0.12, 0.16]"
8,3,5.255496978759766,"[[3, 1, 2, 2, 3, 2, 0, 0], [3, 2, 1, 0, 3, 3, 2, 3], [1, 2, 1, 3, 3, 0, 0, 1]]","[-0.59, -0.28, 0.96]"
8,3,72.33353424072266,"[[2, 2, 3, 0, 2, 3, 0, 3], [2, 0, 1, 1, 2, 0, 3, 1], [1, 3, 3, 1, 0, 1, 0, 1]]","[0.66, -1.07, 0.44]"
8,3,49.00014877319336,"[[0, 1, 3, 3, 2, 1, 2, 1], [3, 1, 3, 0, 1, 2, 3, 2], [3, 3, 1, 3, 3, 2, 3, 3]]","[-0.96, 0.35, -0.65]"
8,3,10.326990127563477,"[[2, 2, 0, 3, 1, 0, 0, 2], [1, 0, 3, 3, 2, 1, 0, 0], [1, 2, 2, 1, 1, 2, 1, 1]]","[-0.6, 1.5, -1.72]"
