n,b,qasm
3,"[(0.18855461031796358+0j), (0.06727903355696843+0.07937471572658918j), (0.018664320236602083+0.5893889812461395j), (-0.24145188141783996+0.21815958830712207j), (-0.16054872113206195-0.0988784567791109j), (-0.015661846683391635-0.10286651744616643j), (0.29318477055651304-0.5116350441261636j), (0.3199925692519153-0.059138588367543876j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate cs _gate_q_0, _gate_q_1 {
  p(pi/4) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  p(-pi/4) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  p(pi/4) _gate_q_1;
}
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
qubit[3] q;
cs q[1], q[2];
r(1.0085095667080517, 4.00928237997409) q[0];
h q[2];
s q[0];
U(2.522631080523378, 0.7537415060198435, 2.6834545273123203) q[1];
z q[0];
p(3.693605562244638) q[2];
t q[1];
"
3,"[(-0.44366673043713345+0j), (0.006807572841332267-0.0013177393147897419j), (0.005691949676263768-0.0011017885582770546j), (0.3709587486670844+0j), 0j, 0j, (0.8114273277166786+0.08301165038649626j), (-0.012697004232497805+0.001136307501905875j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
gate rxx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_0;
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
  h _gate_q_0;
}
gate sxdg _gate_q_0 {
  s _gate_q_0;
  h _gate_q_0;
  s _gate_q_0;
}
gate xx_minus_yy(p0, p1) _gate_q_0, _gate_q_1 {
  rz(-p1) _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sx _gate_q_0;
  rz(pi/2) _gate_q_0;
  s _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  ry(p0/2) _gate_q_0;
  ry(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  sdg _gate_q_1;
  rz(-pi/2) _gate_q_0;
  sxdg _gate_q_0;
  rz(pi/2) _gate_q_0;
  rz(p1) _gate_q_1;
}
qubit[3] q;
cry(1.299919731595418) q[2], q[1];
r(0.03125486875399523, 2.9503877240647287) q[0];
rxx(0.7601800058380193) q[0], q[1];
u1(4.572999399975367) q[2];
xx_minus_yy(4.137941184025368, 1.672744898055645) q[1], q[2];
s q[0];
"
3,"[(0.34726235318900756+0.906285895742948j), 0j, (0.19067188103417854+0.14730569241520589j), 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzz(p0) _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
}
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
gate iswap _gate_q_0, _gate_q_1 {
  s _gate_q_0;
  s _gate_q_1;
  h _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  cx _gate_q_1, _gate_q_0;
  h _gate_q_1;
}
qubit[3] q;
rzz(3.8734223684968936) q[1], q[0];
r(5.796505440920563, 0.07024171542935917) q[2];
p(2.5242540664305912) q[2];
t q[0];
iswap q[2], q[1];
"
3,"[(0.8354611295094585+0j), (0.5490429115247334-0.02359199828805407j), 0j, 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate r(p0, p1) _gate_q_0 {
  u3(p0, p1 - pi/2, pi/2 - p1) _gate_q_0;
}
gate cu1(p0) _gate_q_0, _gate_q_1 {
  u1(p0/2) _gate_q_0;
  cx _gate_q_0, _gate_q_1;
  u1(-p0/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  u1(p0/2) _gate_q_1;
}
qubit[3] q;
crz(0.08613642998149462) q[1], q[2];
r(1.1636499428802995, 1.527853427311644) q[0];
cu1(5.306879327742961) q[2], q[1];
cz q[1], q[0];
"
3,"[(0.06363754924571619+0.5928891579611695j), (0.6849916787839571-0.07352334092500784j), (0.0332524304762644+0.30980145745574655j), (-0.2681462139396466+0.028781379563959264j), 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
qubit[3] q;
cp(3.1496956266439438) q[2], q[1];
u2(1.7146963385776648, 5.972541525045875) q[0];
rzx(5.433704539450524) q[0], q[1];
rz(5.0701395586616105) q[2];
h q[0];
"
3,"[(-0.8010492577406565+0j), (-0.3247051913059321-0.18311609041178903j), 0j, 0j, 0j, 0j, (-0.33772678966356445+0.2573862219131156j), (-0.1957347803700224+0.027128710082805457j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate ryy(p0) _gate_q_0, _gate_q_1 {
  rx(pi/2) _gate_q_0;
  rx(pi/2) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rx(-pi/2) _gate_q_0;
  rx(-pi/2) _gate_q_1;
}
qubit[3] q;
cry(6.1439348380653405) q[1], q[2];
U(0.8711149866564597, 0.5134869850760502, 5.630590335147316) q[0];
ryy(5.308332349044037) q[2], q[1];
crz(1.8391748097910199) q[2], q[1];
"
3,"[(0.9836174247642835-0.18026858212145308j), 0j, 0j, 0j, 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzz(p0) _gate_q_0, _gate_q_1 {
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
}
qubit[3] q;
rzz(0.3625189997825818) q[0], q[2];
id q[1];
crx(5.24515510528565) q[0], q[1];
cu(5.311796059943857, 3.0907826029945955, 1.7663849396521123, 5.1870299607416595) q[0], q[1];
t q[2];
"
3,"[0j, (0.37678956505800226+0j), 0j, (0.9262988846281752+0j), 0j, 0j, 0j, 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
u1(2.2469868940202367) q[0];
y q[1];
tdg q[2];
cry(4.623465564161502) q[2], q[0];
y q[0];
s q[2];
ry(5.510529368674487) q[1];
"
3,"[(-0.2911696151664367+0.21506769747757246j), 0j, (-0.36089151901020833-0.4885933403271363j), 0j, (0.4885933403271363-0.36089151901020833j), 0j, (-0.21506769747757246-0.2911696151664367j), 0j]","OPENQASM 3.0;
include ""stdgates.inc"";
qubit[3] q;
crz(3.623863899546271) q[2], q[0];
h q[1];
cy q[1], q[2];
rz(1.2723738354160679) q[0];
cz q[0], q[2];
rx(4.21644221424696) q[1];
"
3,"[(-0.5248724675213192+0.0034064528631216062j), (0.15559885340335566-0.001009845614835514j), (0.0034064528631216062+0.5248724675213192j), (-0.001009845614835514-0.15559885340335566j), (0.09669553462907819-0.4180376572603288j), (-0.028665466848664365+0.12392759036553981j), (-0.4180376572603288-0.09669553462907819j), (0.12392759036553981+0.028665466848664365j)]","OPENQASM 3.0;
include ""stdgates.inc"";
gate rzx(p0) _gate_q_0, _gate_q_1 {
  h _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  rz(p0) _gate_q_1;
  cx _gate_q_0, _gate_q_1;
  h _gate_q_1;
}
gate ecr _gate_q_0, _gate_q_1 {
  rzx(pi/4) _gate_q_0, _gate_q_1;
  x _gate_q_0;
  rzx(-pi/4) _gate_q_0, _gate_q_1;
}
qubit[3] q;
cu(3.794093037698234, 5.650330727226987, 5.485911897049877, 1.1002907632435186) q[0], q[1];
U(0.2007058394104629, 4.112181302137154, 2.2652605950615774) q[2];
ecr q[0], q[1];
u2(1.790167682927917, 5.241608242866343) q[2];
ry(2.5651977360890443) q[0];
"
